bairro,fisica,cidade,nacionalidade,est_civil,dt_nasc,uf,sexo,pep,desc_perfil,profissao,salario,cedido,regime,idade,profissao_cod,cluster
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Casado,1963-04-28,RJ,MASCULINO,Não,,Trabalhador,3217.66,Não,Mensalista,62.0,1202,2
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Casado,1945-08-30,RJ,MASCULINO,Não,,Aposentado,2557.67,Não,Mensalista,80.0,295,3
CIDADE DE DEUS,F,RIO DE JANEIRO,Brasileira,Divorciado,1962-12-04,RJ,MASCULINO,Não,,Professor Ii,9571.62,Não,Mensalista,63.0,1048,1
HELIOPOLIS,F,BELFORD ROXO,BRASILEIRA,Casado,1959-01-16,RJ,MASCULINO,Não,,Guarda Municipal,10320.62,Não,Mensalista,66.0,776,1
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1956-07-05,RJ,MASCULINO,Não,,Zelador,2815.44,Não,Mensalista,69.0,1238,2
QUINTINO BOCAIUVA,F,RIO DE JANEIRO,Brasileira,Casado,1957-10-28,RJ,MASCULINO,Não,,Aux. De Enfermagem 1° Grau,3420.52,Não,Mensalista,68.0,533,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Casado,1949-07-06,RJ,MASCULINO,Não,,Trabalhador,1152.6,Não,Mensalista,76.0,1202,2
CARAMUJO,F,RIO DE JANEIRO,Brasileira,Casado,1946-08-28,RJ,MASCULINO,Não,,Procurador Federal,15923.58,Não,Mensalista,79.0,871,1
BENFICA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1973-05-25,RJ,FEMININO,Não,,Recepcionista,1277.6,Não,Mensalista,52.0,1094,0
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Divorciada,1973-02-13,RJ,FEMININO,Não,,Servente,921.03,Não,Mensalista,52.0,1116,0
BANGU,F,RIO DE JANEIRO,BRASILEIRA,Casada,1967-03-05,RJ,FEMININO,Não,,Professor De Educação Infantil,5807.33,Não,Mensalista,58.0,998,2
DUQUE DE CAXIAS,F,RIO DE JANEIRO,Brasileira,Casado,1963-06-16,RJ,FEMININO,Não,,Merendeira,1514.1,Não,Mensalista,62.0,812,2
SENADOR VASCONCELOS,F,RIO DE JANEIRO,BRASILEIRA,Casada,1982-06-24,RJ,FEMININO,Não,,Professor De Educação Infantil,10083.05,Não,Mensalista,43.0,998,1
PADRE MIGUEL,F,RIO DE JANEIRO,Brasileira,Solteira,1968-10-08,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,6513.77,Não,Mensalista,57.0,474,0
PADRE MIGUEL,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1968-10-08,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,6539.5,Não,Mensalista,57.0,474,0
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1973-06-28,RJ,FEMININO,Não,,Prof. Ii,1978.47,Não,Mensalista,52.0,968,0
CAJU,F,RIO DE JANEIRO,BRASILEIRA,Separada judicialmente,1970-09-27,RJ,FEMININO,Não,,Ag. De Educação Infantil,3323.16,Não,Mensalista,55.0,129,3
BRAZ DE PINA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1982-11-25,RJ,FEMININO,Não,,Professor De Educaçao Infantil,5540.41,Não,Mensalista,43.0,996,0
BANGU,F,RIO DE JANEIRO,Brasileira,Divorciado,1968-10-12,RJ,FEMININO,Não,,Prof Ii - Lic. Plena,5560.84,Não,Mensalista,57.0,931,0
BONSUCESSO,F,RIO DE JANEIRO,BRASILEIRA,Casada,1983-03-07,RJ,FEMININO,Não,,Agente Educador Ii,1908.14,Não,Mensalista,42.0,268,0
FREGUESIA JACAREPAGUA,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1967-03-05,RJ,FEMININO,Não,,Agente De Educação Infantil,4596.06,Não,Mensalista,58.0,237,3
ABOLIÇÃO,F,RIO DE JANEIRO,BRASILEIRA,Casado,1973-09-11,RJ,FEMININO,Não,,Prof. Ii,1532.13,Não,Mensalista,52.0,968,0
VILA VALQUEIRE,F,RIO DE JANEIRO,BRASILEIRA,Casada,1972-06-09,RJ,FEMININO,Não,,Professor Ii,9977.87,Não,Mensalista,53.0,1048,1
OLARIA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1973-05-27,RJ,FEMININO,Não,,Prof.Ii,3755.34,Não,Mensalista,52.0,977,0
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Casada,1975-03-18,RJ,FEMININO,Não,,Professor Ii,3834.52,Não,Mensalista,50.0,1048,0
JACAREPAGUA,F,RIO DE JANEIRO,Brasileira,Solteira,1971-03-18,RJ,FEMININO,Não,,Merendeira,2109.0,Não,Mensalista,54.0,812,0
SANTISSIMO,F,RIO DE JANEIRO,Brasileira,Casada,1979-05-05,RJ,FEMININO,Não,,Aux De Enfermagem,2438.75,Não,Mensalista,46.0,459,0
PARADA DE LUCAS,F,RIO DE JANEIRO,BRASILEIRA,Casada,1970-03-01,RJ,FEMININO,Não,,Auxiliar De Enfermagem,1547.75,Não,Mensalista,55.0,608,0
RICARDO DE ALBUQUERQUE,F,RIO DE JANEIRO,BRASILEIRA,Casada,1971-02-08,RJ,FEMININO,Não,,Aux. De Creche,1088.76,Não,Mensalista,54.0,519,0
PADRE MIGUEL,F,RIO DE JANEIRO,BRASILEIRA,Casada,1973-08-27,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,6210.77,Não,Mensalista,52.0,474,0
PADRE MIGUEL,F,RIO DE JANEIRO,BRASILEIRA,Casado,1973-08-27,RJ,FEMININO,Não,Risco PLD/FT Baixo,Aux De Enfermagem,6938.11,Não,Mensalista,52.0,459,0
VIGARIO GERAL,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1963-10-08,RJ,FEMININO,Não,,Professor Ii,5137.46,Não,Mensalista,62.0,1048,2
VIGARIO GERAL,F,RIO DE JANEIRO,Brasileira,Divorciada,1963-10-08,RJ,FEMININO,Não,,Professor Ii,5137.46,Não,Mensalista,62.0,1048,2
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,SOLTEIRO,1979-08-19,RJ,FEMININO,Não,,Agente Auxiliar De Creche,1091.93,Não,Mensalista,46.0,195,0
ROCHA,F,RIO DE JANEIRO,BRASILEIRA,Casada,1968-11-19,RJ,FEMININO,Não,,Recepcionista / Gerente Iii,3103.54,Não,Mensalista,57.0,1096,2
SEPETIBA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1971-02-15,RJ,FEMININO,Não,,Professor De Educação Infantil,8168.02,Não,Mensalista,54.0,998,1
QUINTINO BOCAIUVA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1973-07-28,RJ,FEMININO,Não,,Professor,11596.09,Não,Mensalista,52.0,984,1
QUINTINO BOCAIUVA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1973-07-28,RJ,FEMININO,Não,,Professor,11596.09,Não,Mensalista,52.0,984,1
VILA ISABEL,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1970-02-09,RJ,FEMININO,Não,,Tecnico De Enfermagem,2768.78,Não,Mensalista,55.0,1172,2
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1972-09-18,RJ,FEMININO,Não,,Assistente Social,6127.18,Não,Mensalista,53.0,430,0
VIDIGAL,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1976-12-25,RJ,FEMININO,Não,,Agente Aux.De Creche,2935.0,Não,Mensalista,49.0,189,0
VILA ISABEL,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1986-08-04,RJ,FEMININO,Não,Risco PLD/FT Baixo,Técnico Universitário,9513.53,Não,Mensalista,39.0,1234,1
PILARES,F,RIO DE JANEIRO,Brasileira,Casado,1970-06-05,RJ,FEMININO,Não,,Aux De Enfermagem,3405.47,Não,Mensalista,55.0,459,0
SANTA ROSA,F,NITEROI,Brasileira,Solteira,1982-06-08,RJ,FEMININO,Não,,Recepcionista,2441.59,Não,Mensalista,43.0,1094,0
GUADALUPE,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1973-12-05,RJ,FEMININO,Não,,Professor Ii,4827.19,Não,Mensalista,52.0,1048,0
BOTAFOGO,F,RIO DE JANEIRO,Brasileira,Casada,1973-02-04,RJ,FEMININO,Não,,Aux. Enfermagem,3549.67,Não,Mensalista,52.0,564,0
VAZ LOBO,F,RIO DE JANEIRO,Brasileira,Casada,1972-12-15,RJ,FEMININO,Não,,Aux. De Enfermagem,3550.96,Não,Mensalista,53.0,525,0
FONSECA,F,NITERÓI,Brasileira,Solteira,1972-05-16,RJ,FEMININO,Não,,Professor Ii,10162.55,Não,Mensalista,53.0,1048,1
OSWALDO CRUZ,F,RIO DE JANEIRO,Brasileira,Casado,1971-08-13,RJ,FEMININO,Não,,Diretora Financeira,3500.0,Não,Mensalista,54.0,708,0
VILA LEOPOLDINA,F,DUQUE DE CAXIAS,Brasileira,Casada,1966-06-20,RJ,FEMININO,Não,,Merendeira,2128.68,Não,Mensalista,59.0,812,2
RIO COMPRIDO,F,RIO DE JANEIRO,Brasileira,Solteiro,1968-04-16,RJ,MASCULINO,Não,,Agente De Administração,8915.59,Não,Mensalista,57.0,216,3
DEL CASTILHO,F,RIO DE JANEIRO,BRASILEIRA,Casado,1983-05-05,RJ,MASCULINO,Não,,Agente De Inspeção De Controle,7033.22,Não,Mensalista,42.0,241,0
BENTO RIBEIRO,F,RIO DE JANEIRO,Brasileira,Casado,1949-04-11,RJ,MASCULINO,Não,,Professor Ii,2510.0,Não,Mensalista,76.0,1048,2
VILA KOSMOS,F,RIO DE JANEIRO,Brasileira,Casado,1941-01-08,RJ,MASCULINO,Não,,Roupeiro,1303.69,Não,Mensalista,84.0,1099,2
CAROLINA,F,DUQUE DE CAXIAS,Brasileira,Casada,1968-11-22,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,6059.91,Não,Mensalista,57.0,474,0
SANTA CRUZ,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1981-07-02,RJ,FEMININO,Não,,Ag. De Educação Infantil,2851.27,Não,Mensalista,44.0,129,0
MAGALHÃES BASTOS,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1982-04-16,RJ,MASCULINO,Não,Risco PLD/FT Baixo,Ag De Preparador De Alimentos,2621.47,Não,Mensalista,43.0,58,0
TOMAZINHO,F,SÃO JOÃO DE MERITI,Brasileira,Solteiro,1957-09-27,RJ,MASCULINO,Não,,Ass Ciencia E Tecnologia,6754.2,Não,Mensalista,68.0,394,3
SANTA CRUZ,F,RIO DE JANEIRO,BRASILEIRA,Viúvo,1944-04-10,RJ,FEMININO,Não,,Auxiliar De Enfermagem,3504.48,Não,Mensalista,81.0,608,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Casado,1950-02-01,RJ,MASCULINO,Não,,Trabalhador,3911.8,Não,Mensalista,75.0,1202,2
SEPETIBA,F,RIO DE JANEIRO,Brasileira,Solteiro,1958-03-02,RJ,MASCULINO,Não,,Ag. Aux De Administração,3738.66,Não,Mensalista,67.0,80,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Divorciado,1967-06-11,RJ,MASCULINO,Não,,Trabalhador,3115.49,Não,Mensalista,58.0,1202,2
COELHO NETO,F,RIO DE JANEIRO,BRASILEIRA,Solteiro,1965-10-28,RJ,MASCULINO,Não,,Aux De Controle De Endemias,2688.04,Não,Mensalista,60.0,452,3
ENGENHO DE DENTRO,F,RIO DE JANEIRO,BRASILEIRA,Casada,1951-01-05,RJ,FEMININO,Não,,Professor Ii,8315.18,Não,Mensalista,74.0,1048,1
ENGENHO DE DENTRO,F,RIO DE JANEIRO,BRASILEIRA,Casada,1951-01-05,RJ,FEMININO,Não,,Professor Ii,8315.18,Não,Mensalista,74.0,1048,1
SÃO FRANCISCO XAVIER,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1955-10-22,RJ,FEMININO,Não,,Professor I,9532.38,Não,Mensalista,70.0,1028,1
SÃO FRANCISCO XAVIER,F,RIO DE JANEIRO,BRASILEIRA,Divorciada,1955-10-22,RJ,FEMININO,Não,,Professor I,4058.49,Não,Mensalista,70.0,1028,2
SANTA CRUZ,F,RIO DE JANEIRO,Brasileira,Casado,1947-04-27,RJ,MASCULINO,Não,,Trabalhador,1717.67,Não,Mensalista,78.0,1202,2
BANGU,F,RIO DE JANEIRO,Brasileira,Casado,1948-11-24,RJ,MASCULINO,Não,,Aux. De Enfermagem,2478.74,Não,Mensalista,77.0,525,3
BANGU,F,RIO DE JANEIRO,Brasileira,Solteiro,1947-06-20,RJ,MASCULINO,Não,,Trabalhador,2237.3,Não,Mensalista,78.0,1202,2
COSMOS,F,RIO DE JANEIRO,BRASILEIRA,SOLTEIRO,1948-06-27,RJ,MASCULINO,Não,,Art De Pavimentação E Pedreira,3716.74,Não,Mensalista,77.0,330,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Desquitado,1962-02-25,RJ,MASCULINO,Não,,Art De Alvenaria E Pintura,3162.85,Não,Mensalista,63.0,304,3
SANTA CRUZ,F,RIO DE JANEIRO,Brasileiro,Casado,1950-02-16,RJ,MASCULINO,Não,,Art. De Inst. Hidraulicas/Chef,6163.79,Não,Mensalista,75.0,357,3
MADUREIRA,F,RIO DE JANEIRO,Brasileira,Divorciado,1947-09-08,RJ,MASCULINO,Não,,Aposentado,6535.67,Não,Mensalista,78.0,295,3
JARDIM GRAMACHO,F,DUQUE DE CAXIAS,Brasileira,Solteiro,1956-04-03,RJ,MASCULINO,Não,,Trabalhador,2084.92,Não,Mensalista,69.0,1202,2
EDEN,F,SAO JOAO DE MERITI,BRASILEIRA,Casado,1963-11-29,RJ,MASCULINO,Não,,Digitador,6626.21,Não,Mensalista,62.0,704,1
DUARTE DA SILVEIRA,F,PETROPOLIS,Brasileira,Solteiro,1957-08-23,RJ,MASCULINO,Não,,Aposentado,6593.23,Não,Mensalista,68.0,295,3
JARDIM VINTE E CINCO DE AGOSTO,F,DUQUE DE CAXIAS,BRASILEIRA,Solteiro,1963-08-27,RJ,MASCULINO,Não,Risco PLD/FT Baixo,Professor Faetec I 20 H,6350.2,Não,Mensalista,62.0,1025,2
BANGU,F,RIO DE JANEIRO,Brasileira,Divorciado,1958-10-02,RJ,MASCULINO,Não,,Ag. De Vigilancia,1447.3,Não,Mensalista,67.0,140,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Casado,1963-08-31,RJ,MASCULINO,Não,,Art. De Pav. E Pederira,2992.98,Não,Mensalista,62.0,364,3
PACIENCIA,F,RIO DE JANEIRO,Brasileira,Casado,1950-12-02,RJ,MASCULINO,Não,,Agente De Portaria,2358.74,Não,Mensalista,75.0,243,3
CORDOVIL,F,RIO DE JANEIRO,BRASILEIRA,Casada,1959-08-17,RJ,FEMININO,Não,,Roupeiro(Sms),1864.93,Não,Mensalista,66.0,1102,2
REALENGO,F,RIO DE JANEIRO,Brasileira,Viúva,1949-05-21,RJ,FEMININO,Não,,Prof Ii,2656.08,Não,Mensalista,76.0,930,2
GUARATIBA,F,RIO DE JANEIRO,Brasileira,Casado,1954-12-22,RJ,MASCULINO,Não,,Aposentado,2295.82,Não,Mensalista,71.0,295,3
ANDARAI,F,RIO DE JANEIRO,Brasileira,Casada,1951-12-31,RJ,FEMININO,Não,,Servente,1240.77,Não,Mensalista,74.0,1116,2
OURO VERDE,F,NOVA IGUAÇU,BRASILEIRA,Casado,1989-05-07,RJ,MASCULINO,Não,Risco PLD/FT Baixo,Inspetor De Policia Penal,10258.5,Não,Mensalista,36.0,794,1
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Casada,1989-02-25,RJ,FEMININO,Não,,Secretario Escolar,2976.46,Não,Mensalista,36.0,1113,0
RAMOS,F,RIO DE JANEIRO,BRASILEIRA,Casado,1951-08-26,RJ,MASCULINO,Não,,Servente,1461.82,Não,Mensalista,74.0,1116,2
VILA ISABEL,F,RIO DE JANEIRO,BRASILEIRA,Casada,1965-11-16,RJ,FEMININO,Não,,Professora,5475.38,Não,Mensalista,60.0,1070,2
VILA ISABEL,F,RIO DE JANEIRO,BRASILEIRA,Casada,1965-11-16,RJ,FEMININO,Não,,Professora,5475.38,Não,Mensalista,60.0,1070,2
CENTRO,F,MESQUITA,BRASILEIRA,Casada,1973-05-28,RJ,FEMININO,Não,,Aux De Enfermagem 2º Grau,3666.56,Não,Mensalista,52.0,474,0
TAQUARA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1991-02-15,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor De Ensino Fundamenta,8315.05,Não,,34.0,1001,1
BNH,F,MESQUITA,BRASILEIRA,Solteira,1976-06-28,RJ,FEMININO,Não,Risco PLD/FT Baixo,Professor Ii,7758.55,Não,Mensalista,49.0,1048,1
TIJUCA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1979-09-01,RJ,FEMININO,Não,,Professor Ii,11935.74,Não,Mensalista,46.0,1048,1
TIJUCA,F,RIO DE JANEIRO,BRASILEIRA,Solteira,1979-09-01,RJ,FEMININO,Não,,Professor Ii,11935.74,Não,Mensalista,46.0,1048,1
CARAMUJO,F,RIO DE JANEIRO,Brasileira,Casado,1953-12-07,RJ,MASCULINO,Não,,Ag. De Administração,7200.54,Não,Mensalista,72.0,109,3
COELHO DA ROCHA,F,SÃO JOÃO DE MERITI,Brasileira,Casado,1947-12-26,RJ,MASCULINO,Não,,Feitor/Subgerente Iv,6098.81,Não,Mensalista,78.0,762,2
MAGALHÃES BASTOS,F,RIO DE JANEIRO,Brasileira,Solteiro,1962-06-07,RJ,MASCULINO,Não,,Isnpetor De Alunos,6285.34,Não,Mensalista,63.0,797,2
CAMPO GRANDE,F,RIO DE JANEIRO,BRASILEIRA,Casado,1961-09-10,RJ,MASCULINO,Não,,Art De Pavimentação E Pedreira,3883.47,Não,Mensalista,64.0,330,3
VILA VALQUEIRE,F,RIO DE JANEIRO,Brasileira,Casado,1937-12-29,RJ,MASCULINO,Não,,Assistente Legislativo,7643.4,Não,Mensalista,88.0,428,3
PACIENCIA,F,RIO DE JANEIRO,Brasileira,Casado,1956-01-09,RJ,MASCULINO,Não,,Agente De Administração,3554.04,Não,Mensalista,69.0,216,3
RAMOS,F,RIO DE JANEIRO,Brasileira,Solteiro,1965-09-05,RJ,MASCULINO,Não,,Esp. Leg. Niv 3,12778.2,Não,Mensalista,60.0,736,1
TODOS OS SANTOS,F,RIO DE JANEIRO,Brasileira,Divorciado,1943-12-26,RJ,MASCULINO,Não,,Tecnico Em Radiologia,4714.96,Não,Mensalista,82.0,1185,2
IRAJA,F,RIO DE JANEIRO,BRASILEIRA,Divorciado,1951-02-07,RJ,MASCULINO,Não,,Ag De Defesa Civil,2031.1,Não,Mensalista,74.0,49,3
CAMPO GRANDE,F,RIO DE JANEIRO,Brasileira,Solteiro,1955-08-24,RJ,MASCULINO,Não,,Art De Cozinha,3199.52,Não,Mensalista,70.0,310,3
